Unnamed: 0,Title,Summary,Topic List,Topic Content Data,Sources,Location,Country,Latitude,Longitude,Date,Time Level,Source_Report_IDs,Report_Id
0,"Antonivka, Russia 2023-05-22 00:00:00","2023-05-22 00:00:00, Antonivka,
Tactical Event Report

Summary:

On May 22, 2023, Antonivka was shelled causing damage to buildings and infrastructure, including residential and commercial structures. The extent of the damage is currently unknown. Reports suggest that there have been civilian casualties, but the exact number is unknown at this time. The shelling has put the local civilian population at risk. The source of the shelling is attributed to Russian fascist invaders.


Total Events: 3

Infrastructure:
1. Damage to Buildings in Antonivka - The shelling of Antonivka caused damage to buildings in the area, including residential and commercial structures. The extent of the damage is currently unknown. | Source(s): Twitter, @mhmck|General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023

2. Shelling damages infrastructure - The shelling of Antonivka has caused damage to local infrastructure, including buildings, roads, and other infrastructure. The extent of the damage is currently unknown. | Source(s): Twitter, @mhmck, General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023


Civilian:
1. Shelling of Antonivka - The Russian fascist invaders shelled Antonivka, causing damage to buildings and infrastructure and putting the local civillian population at risk. There have been reports of civillian casualties, but the exact number is unknown at this time. | Source(s): Twitter, @mhmck, General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023


","[' Infrastructure Impact', ' Civillian Impact', ' Infrastructure Impact']","The shelling of Antonivka caused damage to buildings in the area, including residential and commercial structures. The extent of the damage is currently unknown.

The Russian fascist invaders shelled Antonivka, causing damage to buildings and infrastructure and putting the local civillian population at risk. There have been reports of civillian casualties, but the exact number is unknown at this time.

The shelling of Antonivka has caused damage to local infrastructure, including buildings, roads, and other infrastructure. The extent of the damage is currently unknown.","['Twitter, @mhmck|General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023', 'Twitter, @mhmck, General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023', 'Twitter, @mhmck, General Staff of the Armed Forces of Ukraine operational information at 18:00 on 22 May 2023']",Antonivka,Russia,45.6966,34.77516,2023-05-22,3,"dc0f88d5-cb55-40e1-8bf1-cd5a2b0f9f45, e456332f-6d9d-4c61-8cfe-6c8be203ba58, e456332f-6d9d-4c61-8cfe-6c8be203ba58",7424dd0e-f127-456a-b99f-7a3abb8220b2
1,"Artemivsk, Ukraine 2023-05-21 00:00:00","2023-05-21 00:00:00, Artemivsk,
Tactical Event Report

Summary:

On May 21, 2023, three military events occurred in Artemivsk. Ukrainian President Volodymyr Zelensky admitted the loss of Artemivsk to the Armed Forces of Ukraine. The Ukrainian Army retreated from Bakhmut as units of the Wagner PMC captured the territory. The town of Artemivsk was fully liberated as a result of the offensive of the Vagner PMC units supported by artillery and aviation of the Southern Group of Forces. Sources for these events include Twitter and South Front and News Front websites.


Total Events: 3

Military:
1. Zelensky admits loss of Artemivsk - Ukrainian President Volodymyr Zelensky admitted that the Armed Forces of Ukraine no longer control Artemivsk. ""Today, Bakhmut is only in our hearts,"" he said before meeting with US President Joe Biden in Japan. | Source(s): @Spriter99880 (Twitter)

2. Ukrainian Army retreats from Bakhmut - On May 20, units of the Wagner PMC fully captured the territory of the city of Bakhmut. AFU units fled Bakhmut en masse, abandoning their positions.  | Source(s): South Front (website)

3. Liberation of Artemivsk - The town of Artemivsk was fully liberated as a result of the offensive of the Vagner PMC units supported by artillery and aviation of the Southern Group of Forces. | Source(s): @Spriter99880 (Twitter)|News Front (website)


","[' Military Operation', ' Military Leadership', ' Military Losses']","The town of Artemivsk was fully liberated as a result of the offensive of the Vagner PMC units supported by artillery and aviation of the Southern Group of Forces.

Ukrainian President Volodymyr Zelensky admitted that the Armed Forces of Ukraine no longer control Artemivsk. ""Today, Bakhmut is only in our hearts,"" he said before meeting with US President Joe Biden in Japan.

On May 20, units of the Wagner PMC fully captured the territory of the city of Bakhmut. AFU units fled Bakhmut en masse, abandoning their positions. ","['@Spriter99880 (Twitter)|News Front (website)', '@Spriter99880 (Twitter)', 'South Front (website)']",Artemivsk,Ukraine,48.4387871,38.7214859,2023-05-21,3,"73fc6a03-8d77-4611-a540-08bd17feb69c, 73fc6a03-8d77-4611-a540-08bd17feb69c, 73fc6a03-8d77-4611-a540-08bd17feb69c",40383141-dfa1-4e5a-86f9-132b0e412f60
2,"Avdiivka, Ukraine 2023-05-13 00:00:00","2023-05-13 00:00:00, Avdiivka,
Tactical Event Report

Summary:

On May 13th, there were four tactical events reported in Avdiivka. Ukrainian soldiers repelled 47 Russian attacks resulting in damage to local infrastructure and civilian casualties were reported. Additionally, Russian equipment was destroyed and a video was posted on Twitter showing a group of people having a barbecue near Avdiivka, but it is unclear if this caused any damage to local infrastructure. The cause of the destruction of the Russian equipment is unknown at this time.


Total Events: 4

Infrastructure:
1. Russian equipment destroyed near Avdiivka - It has been reported that Russian equipment, which was hidden under a bridge in the occupied part of Avdiivka, has been destroyed. The cause of the destruction is unknown at this time. | Source(s): @front_ukrainian on Twitter

2. Ongoing battles in Avdiivka - The Ukrainian soldiers have repelled 47 Russian attacks in the Avdiivka direction today. The fiercest battles continue in Avdiivka, which has resulted in damage to local infrastructure. | Source(s): @Flash_news_ua on Twitter|@front_ukrainian on Twitter

3. Orc barbecue near Avdiivka - A video has been posted on Twitter showing a group of people having a barbecue near Avdiivka. It is unclear if this has caused any damage to local infrastructure. | Source(s): @aborealis940 on Twitter


Civilian:
1. Civillian casualties reported in Avdiivka - According to sources, there have been reports of civillian casualties in Avdiivka due to ongoing fighting between Ukrainian soldiers and Russian troops. The exact number of casualties is unknown at this time. | Source(s): @Flash_news_ua on Twitter


","[' Civillian Impact', ' Infrastructure Impact', ' Infrastructure Impact', ' Infrastructure Impact']","According to sources, there have been reports of civillian casualties in Avdiivka due to ongoing fighting between Ukrainian soldiers and Russian troops. The exact number of casualties is unknown at this time.

It has been reported that Russian equipment, which was hidden under a bridge in the occupied part of Avdiivka, has been destroyed. The cause of the destruction is unknown at this time.

The Ukrainian soldiers have repelled 47 Russian attacks in the Avdiivka direction today. The fiercest battles continue in Avdiivka, which has resulted in damage to local infrastructure.

A video has been posted on Twitter showing a group of people having a barbecue near Avdiivka. It is unclear if this has caused any damage to local infrastructure.","['@Flash_news_ua on Twitter', '@front_ukrainian on Twitter', '@Flash_news_ua on Twitter|@front_ukrainian on Twitter', '@aborealis940 on Twitter']",Avdiivka,Ukraine,48.1338824,37.7466719,2023-05-13,3,"3b1c9a54-72ab-4c0d-9fde-63f049c9c19c, 3b1c9a54-72ab-4c0d-9fde-63f049c9c19c, 3b1c9a54-72ab-4c0d-9fde-63f049c9c19c, 3b1c9a54-72ab-4c0d-9fde-63f049c9c19c",8cdf8b10-69e9-49c5-9383-aeb2c8e0c69f
3,"Avdiivka, Ukraine 2023-05-17 00:00:00","2023-05-17 00:00:00, Avdiivka,
Tactical Event Report

Summary:

On May 17th, 2023, two tactical events were reported in Avdiivka. The recent fighting caused damage to civilian and administrative infrastructure, as well as civilian casualties and damage to private residential buildings. The sources for this information were Ukrinform News and Censor.net.


Total Events: 2

Infrastructure:
1. Damage to infrastructure - The recent fighting caused damage to civilian and administrative infrastructure. | Source(s): Ukrinform News|Censor.net


Civilian:
1. Civillian casualties and damage to residential buildings - During the recent fighting, civilian casualties were recorded, and private residential buildings were damaged. | Source(s): Ukrinform News|Censor.net


","[' Civillian Impact', ' Infrastructure Impact']","During the recent fighting, civilian casualties were recorded, and private residential buildings were damaged.

The recent fighting caused damage to civilian and administrative infrastructure.","['Ukrinform News|Censor.net', 'Ukrinform News|Censor.net']",Avdiivka,Ukraine,48.1338824,37.7466719,2023-05-17,3,"d8a6f875-7fde-40b3-bd5b-4a95b33c8d57, d8a6f875-7fde-40b3-bd5b-4a95b33c8d57",f5899e12-54d8-4cfd-8ea7-69d650d7a6f7
4,"Azov, Russia 2023-05-23 00:00:00","2023-05-23 00:00:00, Azov,
Tactical Event Report

Summary:

On May 23, 2023, a single tactical event was reported in Azov. The event involved the sentencing of Ukrainian serviceman Andrei Petrenko to 22 years in a strict regime colony by a court in the ""DPR"". Petrenko was accused of killing a civilian in Mariupol in March of the previous year. The source of this information is RussianFreePress.com.


Total Events: 1

Military:
1. Ukrainian Serviceman Sentenced to 22 Years - In April, a court in the ""DPR"" sentenced Ukrainian serviceman Andrei Petrenko to 22 years in a strict regime colony. He was accused of killing a civilian in Mariupol in March last year.  | Source(s): RussianFreePress.com


",[' Military Losses'],"In April, a court in the ""DPR"" sentenced Ukrainian serviceman Andrei Petrenko to 22 years in a strict regime colony. He was accused of killing a civilian in Mariupol in March last year. ",['RussianFreePress.com'],Azov,Russia,47.1139219,39.4259657,2023-05-23,3,5b485215-c40a-4629-81f2-8e72fcfb287d,3dda56fa-3f29-4d66-91f8-58b27d391fbf
5,"Azov, Russia 2023-05-25 00:00:00","2023-05-25 00:00:00, Azov,
Tactical Event Report

Summary:

On May 25th, 2023 in Azov, a Ukrainian Captain killed his Battalion Commander with a shot to the head after being ordered to move to the front as a meat shield. The incident was captured on video and shared on social media.


Total Events: 1

Military:
1. Ukrainian Captain kills Battalion Commander - A Ukrainian Captain killed his Battalion Commander with a shot to the head after the latter ordered him to move to the front as a meat shield. The incident was captured on video and shared on social media. | Source(s): Charter 97|South Front (Twitter)


",[' Military Losses'],A Ukrainian Captain killed his Battalion Commander with a shot to the head after the latter ordered him to move to the front as a meat shield. The incident was captured on video and shared on social media.,['Charter 97|South Front (Twitter)'],Azov,Russia,47.1139219,39.4259657,2023-05-25,3,982cfc43-b215-43a2-9fb5-35e448d0c6c4,d83318b0-817f-4b43-bfea-dcb2c9271c51
6,"Azov, Russia 2023-05-31 00:00:00","2023-05-31 00:00:00, Azov,
Tactical Event Report

Summary:

On May 31st, 2023, three events were reported in Azov. The first event involved Ruslan ""David"" from Azov who was seriously injured and lost his leg during city battles in Mariupol. The second event was also related to the city battles in Mariupol, where Ruslan ""David"" filmed the battles on a GoPro. The third event was an auction for Azov Challenge Coin, which was the last auction and ran for 24 hours. All bids went straight to @azov_media.


Total Events: 3

Military:
1. Ruslan ""David"" Injured in City Battles - Ruslan ""David"" from Azov was seriously injured and lost his leg during city battles in Mariupol. | Source(s): Twitter, @LytovchenkoSerg

2. City Battles in Mariupol - Ruslan ""David"" from Azov flew to ""Azovstal"" at the beginning of April. There he participated in city battles and filmed them on a GoPro. Thanks to ""David"", there are videos of the battles that took place in Mariupol. Ruslan ""David"" was seriously injured and lost his leg. | Source(s): Twitter, @LytovchenkoSerg

3. Auction for Azov Challenge Coin - The last auction is live! Will run for 24 hours. Bid here. Final 5 opportunities to win an officially approved Azov challenge coin. All bids go straight to @azov_media. | Source(s): Twitter, @MontayBayBay


","[' Military Operation', ' Military Operation', ' Military Losses']","Ruslan ""David"" from Azov flew to ""Azovstal"" at the beginning of April. There he participated in city battles and filmed them on a GoPro. Thanks to ""David"", there are videos of the battles that took place in Mariupol. Ruslan ""David"" was seriously injured and lost his leg.

The last auction is live! Will run for 24 hours. Bid here. Final 5 opportunities to win an officially approved Azov challenge coin. All bids go straight to @azov_media.

Ruslan ""David"" from Azov was seriously injured and lost his leg during city battles in Mariupol.","['Twitter, @LytovchenkoSerg', 'Twitter, @MontayBayBay', 'Twitter, @LytovchenkoSerg']",Azov,Russia,47.1139219,39.4259657,2023-05-31,3,"d3e6bcae-2312-450f-b748-f98e84ba4606, d3e6bcae-2312-450f-b748-f98e84ba4606, d3e6bcae-2312-450f-b748-f98e84ba4606",2f476a97-206f-47d8-8941-f3870963a638
7,"Bakhmut, Ukraine 2023-05-03 00:00:00","2023-05-03 00:00:00, Bakhmut,
Tactical Event Report

Summary:

On May 3, 2023, four events occurred in Bakhmut. Ukrainian soldiers captured four Russian occupants, and received a new armored personnel carrier. Two Canadian citizens and two professors were killed in separate incidents, but it is unclear how they were killed or what their purpose was in the area. The impact of these events on the ongoing conflict and the university is also unclear.


Total Events: 4

Infrastructure:
1. Ukrainian soldiers capture Russian occupants - Ukrainian soldiers captured four Russian occupants in Bakhmut. It is unclear how this will impact the ongoing conflict in the area. | Source(s): Twitter, @officejjsmart|Censor.net

2. Ukrainian armored personnel carrier developed - Ukrainian soldiers in Bakhmut received a new armored personnel carrier (APC) based on a T-64 tank. The APC can transport up to eight soldiers and is considered effective by the infantry. | Source(s): Censor.net


Civilian:
1. Two Canadians killed in Bakhmut - Two Canadian citizens, Cole Zelenco and Kyle Porter, were killed in Bakhmut. It is unclear how they were killed or what their purpose was in the area. | Source(s): Twitter, @AleksandrX13|Twitter, @NOELreports

2. Professors killed in combat - Two professors who taught at a university were killed in combat in Bakhmut. It is unclear why they were fighting or how their deaths will impact the university. | Source(s): Twitter, @AleksandrX13


","[' Civillian Impact', ' Civillian Impact', ' Infrastructure Impact', ' Infrastructure Impact']","Two Canadian citizens, Cole Zelenco and Kyle Porter, were killed in Bakhmut. It is unclear how they were killed or what their purpose was in the area.

Two professors who taught at a university were killed in combat in Bakhmut. It is unclear why they were fighting or how their deaths will impact the university.

Ukrainian soldiers captured four Russian occupants in Bakhmut. It is unclear how this will impact the ongoing conflict in the area.

Ukrainian soldiers in Bakhmut received a new armored personnel carrier (APC) based on a T-64 tank. The APC can transport up to eight soldiers and is considered effective by the infantry.","['Twitter, @AleksandrX13|Twitter, @NOELreports', 'Twitter, @AleksandrX13', 'Twitter, @officejjsmart|Censor.net', 'Censor.net']",Bakhmut,Ukraine,48.5894123,38.0020994,2023-05-03,3,"6f7dc624-3b10-4d59-8482-acc103e00807, 6f7dc624-3b10-4d59-8482-acc103e00807, 6f7dc624-3b10-4d59-8482-acc103e00807, 6f7dc624-3b10-4d59-8482-acc103e00807",bad2cce6-c75d-4029-a544-38835b5f8829
8,"Bakhmut, Ukraine 2023-05-04 00:00:00","2023-05-04 00:00:00, Bakhmut,
Tactical Event Report

Summary:

On May 4th, 2023, four tactical events were reported in Bakhmut. The infrastructure events included the destruction of a Zhytel electronic warfare station and two Strizh stations, as well as the destruction of enemy weapons and ammunition depots. Aerial reconnaissance of the 30th brigade near Bakhmut continued to destroy the Russian army. The fighting for Bakhmut continued with the 10th separate mountain assault brigade ""Edelweiss"" destroying the enemy. Unfortunately, there were civilian casualties reported, with Ukrainian defenders eliminating 133 invaders and another 176 being wounded. The occupiers are destroying the city along with civilians who remain there.


Total Events: 4

Infrastructure:
1. Destruction of Zhytel electronic warfare station and two Strizh stations - The Zhytel electronic warfare station and two Strizh stations, two enemy self-propelled guns, two howitzer guns, IFV, and 8 field ammunition depots were destroyed. | Source(s): Censor.net

2. Aerial reconnaissance of 30th brigade near Bakhmut continues to destroy occupiers - The 30th separate mechanized brigade named after Prince Konstantin Ostrozki continues to destroy the Russian army near Bakhmut. | Source(s): Censor.net

3. Fighting for Bakhmut continues - Soldiers of the 10th separate mountain assault brigade ""Edelweiss"" continue to destroy the enemy in Bakhmut. | Source(s): Censor.net


Civilian:
1. Civillian casualties near Bakhmut - Ukrainian defenders eliminated 133 invaders near Bakhmut, and another 176 were wounded. The occupiers are destroying the city along with civilians who remain there. | Source(s): Censor.net|@UKRWarSitRep


","[' Civillian Impact', ' Infrastructure Impact', ' Infrastructure Impact', ' Infrastructure Impact']","Ukrainian defenders eliminated 133 invaders near Bakhmut, and another 176 were wounded. The occupiers are destroying the city along with civilians who remain there.

The Zhytel electronic warfare station and two Strizh stations, two enemy self-propelled guns, two howitzer guns, IFV, and 8 field ammunition depots were destroyed.

The 30th separate mechanized brigade named after Prince Konstantin Ostrozki continues to destroy the Russian army near Bakhmut.

Soldiers of the 10th separate mountain assault brigade ""Edelweiss"" continue to destroy the enemy in Bakhmut.","['Censor.net|@UKRWarSitRep', 'Censor.net', 'Censor.net', 'Censor.net']",Bakhmut,Ukraine,48.5894123,38.0020994,2023-05-04,3,"4bbc5f10-a467-451d-afc8-cdc1c8f32f8a, 4bbc5f10-a467-451d-afc8-cdc1c8f32f8a, 4bbc5f10-a467-451d-afc8-cdc1c8f32f8a, 4bbc5f10-a467-451d-afc8-cdc1c8f32f8a",dd5e0e83-3581-4060-a08c-9ecb5d19bc74
9,"Bakhmut, Ukraine 2023-05-05 00:00:00","2023-05-05 00:00:00, Bakhmut,
Tactical Event Report

Summary:

On May 5th, 2023, three tactical events occurred in Bakhmut, Ukraine. A Russian tank hit the position of Russian infantry, resulting in civilian injuries and damage to private homes and other civilian infrastructure. Ukrainian Defence Forces aviation carried out six strikes on the clusters of Russian personnel and military equipment, resulting in civilian injuries and damage to private homes and other civilian infrastructure. Additionally, Ukrainian forces killed a civilian fisherman in the Kherson region, mocking their victim in a video. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged in all three events.


Total Events: 3

Infrastructure:
1. Russian tank hit position of Russian infantry - A Russian tank hit the position of Russian infantry in Bakhmut, Ukraine. The ammunition detonated in the armored vehicle. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged. | Source(s): Censor.net

2. Ukrainian aviation strikes six Russian clusters - The Ukrainian Defence Forces aviation carried out six strikes on the clusters of Russian personnel and military equipment over the day. Missile and artillery units hit five clusters of Russian weapons and military equipment, three ammunition and fuel and lubricants depots, one air defence facility and five other important targets. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged. | Source(s): LB.ua


Civilian:
1. Ukrainian Forces Killed Civilian Fisherman In Kherson Region - Ukrainian forces killed a civilian who was sailing along the Dnieper on a boat, and published a video with cheerful music, mocking their victim. The incident reportedly took place in late April. The man killed by Ukrainians was a civilian because he was seen calmly walking on the shore. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged. | Source(s): Censor.net|South Front|Twitter (@albafella1)


","[' Civillian Impact', ' Infrastructure Impact', ' Infrastructure Impact']","Ukrainian forces killed a civilian who was sailing along the Dnieper on a boat, and published a video with cheerful music, mocking their victim. The incident reportedly took place in late April. The man killed by Ukrainians was a civilian because he was seen calmly walking on the shore. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged.

A Russian tank hit the position of Russian infantry in Bakhmut, Ukraine. The ammunition detonated in the armored vehicle. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged.

The Ukrainian Defence Forces aviation carried out six strikes on the clusters of Russian personnel and military equipment over the day. Missile and artillery units hit five clusters of Russian weapons and military equipment, three ammunition and fuel and lubricants depots, one air defence facility and five other important targets. Civilians were injured, private homes and other civilian infrastructure were destroyed and damaged.","['Censor.net|South Front|Twitter (@albafella1)', 'Censor.net', 'LB.ua']",Bakhmut,Ukraine,48.5894123,38.0020994,2023-05-05,3,"361bd005-5d8f-43f4-b325-b78f49346a0b, 361bd005-5d8f-43f4-b325-b78f49346a0b, 361bd005-5d8f-43f4-b325-b78f49346a0b",83551356-8812-4ef7-b7e8-537fc9e078a1
